"date","prcp","tobs","name","latitude","longitude","elevation","id"
"2010-02-07","0","64","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",34
"2010-02-08","0","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",35
"2010-02-09","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",36
"2010-02-11","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",37
"2010-02-12","0.02","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",38
"2010-02-13","0.01","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",39
"2010-02-14","0","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",40
"2010-02-15","0","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",41
"2010-02-16","0","61","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",42
"2010-02-17","0","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",43
"2010-02-19",NULL,"63","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",44
"2010-02-20","0.03","64","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",45
"2010-02-21","0","65","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",46
"2010-02-22","0","67","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",47
"2010-02-23","0","68","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",48
"2010-02-24","0","65","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",49
"2010-02-25","0","76","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",50
"2010-02-26","0","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",51
"2010-02-28","0","66","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",52
"2010-03-01","0.01","70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",53
"2010-03-02","0","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",54
"2010-03-03","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",55
"2010-03-04","0.12","70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",56
"2010-03-05","0.08","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",57
"2010-03-06","0.03","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",58
"2010-03-07","0","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",59
"2010-03-08","0.43","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",60
"2010-03-09","0.06","70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",61
"2010-03-11",NULL,"73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",62
"2010-03-12","0","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",63
"2010-03-13","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",64
"2010-03-14","0","70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",65
"2010-03-15","0.06","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",66
"2010-03-17","0","68","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",67
"2010-03-18","0","70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",68
"2010-03-21","0","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",69
"2010-03-22","0","69","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",70
"2010-03-23","0","68","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",71
"2010-03-24","0","74","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",72
"2010-03-26",NULL,"72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",73
"2010-03-27","0","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",74
"2010-03-28","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",75
"2010-03-29","0","74","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",76
"2010-03-30","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",77
"2010-03-31","0","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",78
"2010-04-01","0","74","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",79
"2010-04-02","0.01","74","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",80
"2010-04-03","0.17","74","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",81
"2010-04-04","0.15","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",82
"2010-04-05","0.27","72","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",83
"2010-04-06","0.01","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",84
"2010-04-08","0","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",85
"2010-04-09","0.01","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",86
"2010-04-10","0","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",87
"2010-04-11","0.01","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",88
"2010-04-12","0.01","73","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",89
"2010-04-13","0","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",90
"2010-04-15","0","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",91
"2010-04-16","0.01","68","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",92
"2010-04-17","0","70","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",93
"2010-04-18","0","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",94
"2010-04-19","0","74","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",95
"2010-04-20","0.04","71","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",96
"2010-04-21","0.01","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",97
"2010-04-22","0","76","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",98
"2010-04-23","0.02","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",99
"2010-04-24","0","75","WAIKIKI 717.2, HI US","21.2716","-157.8168","3",100
